,Season,Date,Start (ET),,Visitor/Neutral,PTS,Home/Neutral,HPTS,,Notes
213,1984,"Sun, Apr 22, 1984",,Box Score,Detroit Pistons,113,New York Knicks,120,,
214,1984,"Sun, Apr 22, 1984",,Box Score,Portland Trail Blazers,103,Phoenix Suns,106,,
215,1984,"Tue, Apr 24, 1984",,Box Score,Milwaukee Bucks,97,Atlanta Hawks,100,,
216,1984,"Tue, Apr 24, 1984",,Box Score,Utah Jazz,129,Denver Nuggets,124,,
217,1984,"Tue, Apr 24, 1984",,Box Score,Philadelphia 76ers,110,New Jersey Nets,102,,
218,1984,"Tue, Apr 24, 1984",,Box Score,Portland Trail Blazers,113,Phoenix Suns,110,,
219,1984,"Tue, Apr 24, 1984",,Box Score,Dallas Mavericks,107,Seattle SuperSonics,96,,
220,1984,"Tue, Apr 24, 1984",,Box Score,Boston Celtics,99,Washington Bullets,96,,
221,1984,"Wed, Apr 25, 1984",,Box Score,Detroit Pistons,119,New York Knicks,112,,
222,1984,"Thu, Apr 26, 1984",,Box Score,Seattle SuperSonics,104,Dallas Mavericks,105,OT,"at University Park, TX"
223,1984,"Thu, Apr 26, 1984",,Box Score,Atlanta Hawks,89,Milwaukee Bucks,118,,
224,1984,"Thu, Apr 26, 1984",,Box Score,New Jersey Nets,101,Philadelphia 76ers,98,,
225,1984,"Thu, Apr 26, 1984",,Box Score,Phoenix Suns,117,Portland Trail Blazers,105,,
226,1984,"Thu, Apr 26, 1984",,Box Score,Denver Nuggets,111,Utah Jazz,127,,
227,1984,"Fri, Apr 27, 1984",,Box Score,New York Knicks,127,Detroit Pistons,123,OT,
228,1984,"Sat, Apr 28, 1984",,Box Score,Dallas Mavericks,91,Los Angeles Lakers,134,,
229,1984,"Sun, Apr 29, 1984",,Box Score,New York Knicks,92,Boston Celtics,110,,
230,1984,"Sun, Apr 29, 1984",,Box Score,New Jersey Nets,106,Milwaukee Bucks,100,,
231,1984,"Sun, Apr 29, 1984",,Box Score,Phoenix Suns,95,Utah Jazz,105,,
232,1984,"Tue, May 1, 1984",,Box Score,Dallas Mavericks,101,Los Angeles Lakers,117,,
233,1984,"Tue, May 1, 1984",,Box Score,New Jersey Nets,94,Milwaukee Bucks,98,,
234,1984,"Wed, May 2, 1984",,Box Score,New York Knicks,102,Boston Celtics,116,,
235,1984,"Wed, May 2, 1984",,Box Score,Phoenix Suns,102,Utah Jazz,97,,
236,1984,"Thu, May 3, 1984",,Box Score,Milwaukee Bucks,100,New Jersey Nets,93,,
237,1984,"Fri, May 4, 1984",,Box Score,Los Angeles Lakers,115,Dallas Mavericks,125,,
238,1984,"Fri, May 4, 1984",,Box Score,Boston Celtics,92,New York Knicks,100,,
239,1984,"Fri, May 4, 1984",,Box Score,Utah Jazz,94,Phoenix Suns,106,,
240,1984,"Sat, May 5, 1984",,Box Score,Milwaukee Bucks,99,New Jersey Nets,106,,
241,1984,"Sun, May 6, 1984",,Box Score,Los Angeles Lakers,122,Dallas Mavericks,115,OT,
242,1984,"Sun, May 6, 1984",,Box Score,Boston Celtics,113,New York Knicks,118,,
243,1984,"Sun, May 6, 1984",,Box Score,Utah Jazz,110,Phoenix Suns,111,OT,
244,1984,"Tue, May 8, 1984",,Box Score,Dallas Mavericks,99,Los Angeles Lakers,115,,
245,1984,"Tue, May 8, 1984",,Box Score,New Jersey Nets,82,Milwaukee Bucks,94,,
246,1984,"Tue, May 8, 1984",,Box Score,Phoenix Suns,106,Utah Jazz,118,,
247,1984,"Wed, May 9, 1984",,Box Score,New York Knicks,99,Boston Celtics,121,,
248,1984,"Thu, May 10, 1984",,Box Score,Milwaukee Bucks,98,New Jersey Nets,97,,
249,1984,"Thu, May 10, 1984",,Box Score,Utah Jazz,82,Phoenix Suns,102,,
250,1984,"Fri, May 11, 1984",,Box Score,Boston Celtics,104,New York Knicks,106,,
251,1984,"Sat, May 12, 1984",,Box Score,Phoenix Suns,94,Los Angeles Lakers,110,,
252,1984,"Sun, May 13, 1984",,Box Score,New York Knicks,104,Boston Celtics,121,,
253,1984,"Tue, May 15, 1984",,Box Score,Milwaukee Bucks,96,Boston Celtics,119,,
254,1984,"Tue, May 15, 1984",,Box Score,Phoenix Suns,102,Los Angeles Lakers,118,,
255,1984,"Thu, May 17, 1984",,Box Score,Milwaukee Bucks,110,Boston Celtics,125,,
256,1984,"Fri, May 18, 1984",,Box Score,Los Angeles Lakers,127,Phoenix Suns,135,OT,
257,1984,"Sat, May 19, 1984",,Box Score,Boston Celtics,109,Milwaukee Bucks,100,,
258,1984,"Sun, May 20, 1984",,Box Score,Los Angeles Lakers,126,Phoenix Suns,115,,
259,1984,"Mon, May 21, 1984",,Box Score,Boston Celtics,113,Milwaukee Bucks,122,,
260,1984,"Wed, May 23, 1984",,Box Score,Milwaukee Bucks,108,Boston Celtics,115,,
261,1984,"Wed, May 23, 1984",,Box Score,Phoenix Suns,126,Los Angeles Lakers,121,,
262,1984,"Fri, May 25, 1984",,Box Score,Los Angeles Lakers,99,Phoenix Suns,97,,
263,1984,"Sun, May 27, 1984",,Box Score,Los Angeles Lakers,115,Boston Celtics,109,,
264,1984,"Thu, May 31, 1984",,Box Score,Los Angeles Lakers,121,Boston Celtics,124,OT,
265,1984,"Sun, Jun 3, 1984",,Box Score,Boston Celtics,104,Los Angeles Lakers,137,,
266,1984,"Wed, Jun 6, 1984",,Box Score,Boston Celtics,129,Los Angeles Lakers,125,OT,
267,1984,"Fri, Jun 8, 1984",,Box Score,Los Angeles Lakers,103,Boston Celtics,121,,
268,1984,"Sun, Jun 10, 1984",,Box Score,Boston Celtics,108,Los Angeles Lakers,119,,
269,1984,"Tue, Jun 12, 1984",,Box Score,Los Angeles Lakers,102,Boston Celtics,111,,
270,1985,"Wed, Apr 17, 1985",,Box Score,Washington Bullets,97,Philadelphia 76ers,104,,
271,1985,"Thu, Apr 18, 1985",,Box Score,Cleveland Cavaliers,123,Boston Celtics,126,,
